O*NET-SOC Code	Title	Task ID	Task	Scale ID	Scale Name	Data Value	IMP_rating
11-1011.03	Chief Sustainability Officers	15370	"Create and maintain sustainability program documents, such as schedules and budgets."	IM	Importance	3.85	71
11-1011.03	Chief Sustainability Officers	15375	Formulate or implement sustainability campaign or marketing strategies.	IM	Importance	3.74	69
11-1011.03	Chief Sustainability Officers	15376	"Research environmental sustainability issues, concerns, or stakeholder interests."	IM	Importance	3.74	69
11-1011.03	Chief Sustainability Officers	15383	Direct sustainability program operations to ensure compliance with environmental or governmental regulations.	IM	Importance	3.65	66
11-1011.03	Chief Sustainability Officers	15377	"Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives."	IM	Importance	3.52	63
11-1011.03	Chief Sustainability Officers	15381	Develop methodologies to assess the viability or success of sustainability initiatives.	IM	Importance	3.52	63
11-1011.03	Chief Sustainability Officers	15374	"Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws."	IM	Importance	3.48	62
11-1011.03	Chief Sustainability Officers	15373	Write and distribute financial or environmental impact reports.	IM	Importance	3.33	58
11-1011.03	Chief Sustainability Officers	15371	"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives."	IM	Importance	3.33	58
11-1011.03	Chief Sustainability Officers	15367	"Identify educational, training, or other development opportunities for sustainability employees or volunteers."	IM	Importance	3.19	55
11-1011.03	Chief Sustainability Officers	15369	Conduct risk assessments related to sustainability and the environment.	IM	Importance	3.13	53
11-1021.00	General and Operations Managers	20699	"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement."	IM	Importance	4.18	80
11-1021.00	General and Operations Managers	933	"Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products."	IM	Importance	4.14	79
11-1021.00	General and Operations Managers	20700	Direct administrative activities directly related to making products or providing services.	IM	Importance	4.01	75
11-1021.00	General and Operations Managers	20701	Prepare staff work schedules and assign specific duties.	IM	Importance	3.98	75
11-1021.00	General and Operations Managers	20703	"Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency."	IM	Importance	3.9	73
11-1021.00	General and Operations Managers	20706	"Plan or direct activities, such as sales promotions, that require coordination with other department managers."	IM	Importance	3.83	71
11-1021.00	General and Operations Managers	20705	"Perform personnel functions, such as selection, training, or evaluation."	IM	Importance	3.79	70
11-1021.00	General and Operations Managers	20704	"Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members."	IM	Importance	3.74	69
11-1021.00	General and Operations Managers	20702	Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.	IM	Importance	3.44	61
11-1021.00	General and Operations Managers	20708	"Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations."	IM	Importance	4.03	76
11-1021.00	General and Operations Managers	20707	"Set prices or credit terms for goods or services, based on forecasts of customer demand."	IM	Importance	4.01	75
11-1021.00	General and Operations Managers	944	"Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory."	IM	Importance	3.87	72
11-1021.00	General and Operations Managers	945	"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions."	IM	Importance	3.57	64
11-1021.00	General and Operations Managers	947	"Direct non-merchandising departments of businesses, such as advertising or purchasing."	IM	Importance	3.53	63
11-1021.00	General and Operations Managers	19501	"Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management."	IM	Importance	3.1	53
11-1021.00	General and Operations Managers	949	Plan store layouts or design displays.	IM	Importance	2.92	48
11-1021.00	General and Operations Managers	948	"Recommend locations for new facilities, or oversee the remodeling or renovating of current facilities."	IM	Importance	2.79	45
11-2011.00	Advertising and Promotions Managers	3224	"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies."	IM	Importance	4.13	78
11-2011.00	Advertising and Promotions Managers	3226	"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications."	IM	Importance	4.07	77
11-2011.00	Advertising and Promotions Managers	3231	"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised."	IM	Importance	3.9	73
11-2011.00	Advertising and Promotions Managers	3242	Coordinate with the media to disseminate advertising.	IM	Importance	3.87	72
11-2011.00	Advertising and Promotions Managers	3227	"Coordinate activities of departments, such as sales, graphic arts, media, finance, and research."	IM	Importance	3.84	71
11-2011.00	Advertising and Promotions Managers	3238	Plan and execute advertising policies and strategies for organizations.	IM	Importance	3.81	70
11-2011.00	Advertising and Promotions Managers	3237	"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals."	IM	Importance	3.81	70
11-2011.00	Advertising and Promotions Managers	3223	Prepare budgets and submit estimates for program costs as part of campaign plan development.	IM	Importance	3.67	67
11-2011.00	Advertising and Promotions Managers	3243	Contact organizations to explain services and facilities offered.	IM	Importance	3.61	65
11-2011.00	Advertising and Promotions Managers	3233	Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.	IM	Importance	3.59	65
11-2011.00	Advertising and Promotions Managers	3229	"Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers."	IM	Importance	3.55	64
11-2011.00	Advertising and Promotions Managers	3239	"Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms."	IM	Importance	3.54	64
11-2011.00	Advertising and Promotions Managers	3234	"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning."	IM	Importance	3.25	56
11-2011.00	Advertising and Promotions Managers	18586	"Manage sales team, including setting goals, providing incentives, and evaluating employee performance."	IM	Importance	3.89	72
11-2011.00	Advertising and Promotions Managers	3228	Prepare and negotiate advertising and sales contracts.	IM	Importance	3.81	70
11-2011.00	Advertising and Promotions Managers	3235	Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.	IM	Importance	3.68	67
11-2011.00	Advertising and Promotions Managers	3241	Train and direct workers engaged in developing and producing advertisements.	IM	Importance	3.62	66
11-2011.00	Advertising and Promotions Managers	3240	"Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support, and action, to further campaign goals."	IM	Importance	3.61	65
11-2011.00	Advertising and Promotions Managers	3236	Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.	IM	Importance	3.5	63
11-2011.00	Advertising and Promotions Managers	3245	Represent company at trade association meetings to promote products.	IM	Importance	3.43	61
11-2011.00	Advertising and Promotions Managers	3244	Direct and coordinate product research and development.	IM	Importance	3.35	59
11-2021.00	Marketing Managers	951	"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors."	IM	Importance	4.3	83
11-2021.00	Marketing Managers	20709	"Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers."	IM	Importance	4.24	81
11-2021.00	Marketing Managers	952	"Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections."	IM	Importance	3.99	75
11-2021.00	Marketing Managers	950	"Develop pricing strategies, balancing firm objectives and customer satisfaction."	IM	Importance	3.87	72
11-2021.00	Marketing Managers	957	Compile lists describing product or service offerings.	IM	Importance	3.7	68
11-2021.00	Marketing Managers	954	"Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities."	IM	Importance	3.66	67
11-2021.00	Marketing Managers	956	"Consult with product development personnel on product specifications, such as design, color, or packaging."	IM	Importance	3.65	66
11-2021.00	Marketing Managers	958	"Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends."	IM	Importance	3.56	64
11-2021.00	Marketing Managers	955	"Negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies."	IM	Importance	3.53	63
11-2021.00	Marketing Managers	961	"Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services."	IM	Importance	3.41	60
11-2021.00	Marketing Managers	963	"Initiate market research studies, or analyze their findings."	IM	Importance	3.4	60
11-2021.00	Marketing Managers	960	"Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors."	IM	Importance	3.14	54
11-2021.00	Marketing Managers	964	Consult with buying personnel to gain advice regarding the types of products or services expected to be in demand.	IM	Importance	3.41	60
11-2021.00	Marketing Managers	19502	Consult with buying personnel to gain advice regarding environmentally sound or sustainable products.	IM	Importance	3.41	60
11-2021.00	Marketing Managers	965	Conduct economic or commercial surveys to identify potential markets for products or services.	IM	Importance	3.17	54
11-2021.00	Marketing Managers	19505	"Recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products."	IM	Importance	3.12	53
11-2021.00	Marketing Managers	962	"Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services."	IM	Importance	3.06	52
11-2021.00	Marketing Managers	959	Select products or accessories to be displayed at trade or special production shows.	IM	Importance	2.7	43
11-2021.00	Marketing Managers	19503	Develop business cases for environmental marketing strategies.	IM	Importance	2.68	42
11-2021.00	Marketing Managers	19504	"Integrate environmental information into product or company marketing strategies, policies, or activities."	IM	Importance	2.59	40
11-2022.00	Sales Managers	14	Oversee regional and local sales managers and their staffs.	IM	Importance	4.65	91
11-2022.00	Sales Managers	1	Resolve customer complaints regarding sales and service.	IM	Importance	4.35	84
11-2022.00	Sales Managers	2	Monitor customer preferences to determine focus of sales efforts.	IM	Importance	4.29	82
11-2022.00	Sales Managers	13	"Confer with potential customers regarding equipment needs, and advise customers on types of equipment to purchase."	IM	Importance	4.24	81
11-2022.00	Sales Managers	5	Review operational records and reports to project sales and determine profitability.	IM	Importance	4.21	80
11-2022.00	Sales Managers	11	"Plan and direct staffing, training, and performance evaluations to develop and control sales and service programs."	IM	Importance	4.19	80
11-2022.00	Sales Managers	3	"Direct and coordinate activities involving sales of manufactured products, services, commodities, real estate, or other subjects of sale."	IM	Importance	4	75
11-2022.00	Sales Managers	4	Determine price schedules and discount rates.	IM	Importance	3.95	74
11-2022.00	Sales Managers	9	Prepare budgets and approve budget expenditures.	IM	Importance	3.7	68
11-2022.00	Sales Managers	7	Confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications.	IM	Importance	3.53	63
11-2022.00	Sales Managers	12	Visit franchised dealers to stimulate interest in establishment or expansion of leasing programs.	IM	Importance	3.5	63
11-2022.00	Sales Managers	10	Represent company at trade association meetings to promote products.	IM	Importance	3.33	58
11-2022.00	Sales Managers	8	Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.	IM	Importance	3.25	56
11-2022.00	Sales Managers	6	"Direct, coordinate, and review sales and service accounting and record-keeping, as well as receiving and shipping."	IM	Importance	3.06	52
11-2022.00	Sales Managers	15	"Direct clerical staff to keep records of export correspondence, bid requests, and credit collections, and to maintain current information on tariffs, licenses, and restrictions."	IM	Importance	3	50
11-2022.00	Sales Managers	17	"Assess marketing potential of new and existing store locations, considering statistics and expenditures."	IM	Importance	3.23	56
11-2022.00	Sales Managers	16	Direct foreign sales and service outlets of an organization.	IM	Importance	2.92	48
11-2033.00	Fundraising Managers	21252	Develop strategies to encourage new or increased contributions.	IM	Importance	4.33	83
11-2033.00	Fundraising Managers	21258	Manage fundraising budgets.	IM	Importance	4.31	83
11-2033.00	Fundraising Managers	21251	Develop fundraising activity plans that maximize participation or contributions and minimize costs.	IM	Importance	4.11	78
11-2033.00	Fundraising Managers	21259	"Plan and direct special events for fundraising, such as silent auctions, dances, golf events, or walks."	IM	Importance	4.07	77
11-2033.00	Fundraising Managers	21255	"Establish goals for soliciting funds, develop policies for collection and safeguarding of contributions, and coordinate disbursement of funds."	IM	Importance	3.95	74
11-2033.00	Fundraising Managers	21254	"Establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new fundraising opportunities."	IM	Importance	3.95	74
11-2033.00	Fundraising Managers	21247	Compile or develop materials to submit to granting or other funding organizations.	IM	Importance	3.93	73
11-2033.00	Fundraising Managers	21249	"Contact corporate representatives, government officials, or community leaders to increase awareness of organizational causes, activities, or needs."	IM	Importance	3.76	69
11-2033.00	Fundraising Managers	21248	"Conduct research to identify the goals, net worth, charitable donation history, or other data related to potential donors, potential investors, or general donor markets."	IM	Importance	3.56	64
11-2033.00	Fundraising Managers	21261	"Write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet Web pages."	IM	Importance	3.5	63
11-2033.00	Fundraising Managers	21257	Formulate policies and procedures related to fundraising programs.	IM	Importance	3.47	62
11-2033.00	Fundraising Managers	21246	"Assign, supervise, and review the activities of fundraising staff."	IM	Importance	3.39	60
11-2033.00	Fundraising Managers	21256	Evaluate advertising and promotion programs for compatibility with fundraising efforts.	IM	Importance	3.37	59
11-2033.00	Fundraising Managers	21250	"Design and edit promotional publications, such as brochures."	IM	Importance	3.01	50
11-2033.00	Fundraising Managers	21253	"Direct activities of external agencies, establishments, or departments that develop and implement fundraising strategies and programs."	IM	Importance	4.18	80
11-2033.00	Fundraising Managers	21260	"Produce films and other video products, regulate their distribution, and operate film library."	IM	Importance	2.98	50
11-3012.00	Administrative Services Managers	21	Prepare and review operational reports and schedules to ensure accuracy and efficiency.	IM	Importance	3.71	68
11-3012.00	Administrative Services Managers	20	Set goals and deadlines for the department.	IM	Importance	3.7	68
11-3012.00	Administrative Services Managers	23	"Acquire, distribute and store supplies."	IM	Importance	3.38	60
11-3012.00	Administrative Services Managers	22	"Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records."	IM	Importance	3.33	58
11-3012.00	Administrative Services Managers	30	Conduct classes to teach procedures to staff.	IM	Importance	3.19	55
11-3012.00	Administrative Services Managers	24	"Plan, administer, and control budgets for contracts, equipment, and supplies."	IM	Importance	4.06	77
11-3012.00	Administrative Services Managers	26	Hire and terminate clerical and administrative personnel.	IM	Importance	3.95	74
11-3012.00	Administrative Services Managers	19	"Direct or coordinate the supportive services department of a business, agency, or organization."	IM	Importance	3.92	73
11-3013.00	Facilities Managers	21276	"Monitor the facility to ensure that it remains safe, secure, and well-maintained."	IM	Importance	4.55	89
11-3013.00	Facilities Managers	21278	"Oversee the maintenance and repair of machinery, equipment, and electrical and mechanical systems."	IM	Importance	4.5	88
11-3013.00	Facilities Managers	21277	"Oversee construction and renovation projects to improve efficiency and to ensure that facilities meet environmental, health, and security standards, and comply with government regulations."	IM	Importance	4.21	80
11-3013.00	Facilities Managers	21280	"Plan, administer, and control budgets for contracts, equipment, and supplies."	IM	Importance	4.09	77
11-3013.00	Facilities Managers	21279	"Participate in architectural and engineering planning and design, including space and installation management."	IM	Importance	4.04	76
11-3013.00	Facilities Managers	21282	Set goals and deadlines for the department.	IM	Importance	3.98	75
11-3013.00	Facilities Managers	21273	Conduct classes to teach procedures to staff.	IM	Importance	3.92	73
11-3013.00	Facilities Managers	21281	Prepare and review operational reports and schedules to ensure accuracy and efficiency.	IM	Importance	3.72	68
11-3013.00	Facilities Managers	21272	"Acquire, distribute and store supplies."	IM	Importance	3.47	62
11-3013.00	Facilities Managers	21274	"Dispose of, or oversee the disposal of, surplus or unclaimed property."	IM	Importance	3.04	51
11-3013.00	Facilities Managers	21275	Manage leasing of facility space.	IM	Importance	3.62	66
11-3013.01	Security Managers	21291	Develop budgets for security operations.	IM	Importance	4.65	91
11-3013.01	Security Managers	21298	"Identify, investigate, or resolve security breaches."	IM	Importance	4.6	90
11-3013.01	Security Managers	21302	"Plan, direct, or coordinate security activities to safeguard company employees, guests, or others on company property."	IM	Importance	4.55	89
11-3013.01	Security Managers	21297	Direct or participate in emergency management and contingency planning.	IM	Importance	4.5	88
11-3013.01	Security Managers	21305	"Respond to medical emergencies, bomb threats, fire alarms, or intrusion alarms, following emergency response procedures."	IM	Importance	4.3	83
11-3013.01	Security Managers	21283	"Analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment."	IM	Importance	4.2	80
11-3013.01	Security Managers	21290	"Create or implement security standards, policies, and procedures."	IM	Importance	4.2	80
11-3013.01	Security Managers	21284	Assess risks to mitigate potential consequences of incidents and develop a plan to respond to incidents.	IM	Importance	4.2	80
11-3013.01	Security Managers	21307	"Supervise or provide leadership to subordinate security professionals, performing activities such as hiring, investigating applicants' backgrounds, training, assigning work, evaluating performance, or disciplining."	IM	Importance	4.11	78
11-3013.01	Security Managers	21295	"Develop, implement, manage, or evaluate policies and methods to protect personnel against harassment, threats, or violence."	IM	Importance	4.11	78
11-3013.01	Security Managers	21296	"Develop, recommend, or manage security procedures for operations or processes, such as security call centers, access control, and reporting tools."	IM	Importance	4.1	78
11-3013.01	Security Managers	21301	Plan security for special and high-risk events.	IM	Importance	4.06	77
11-3013.01	Security Managers	21288	"Conduct threat or vulnerability analyses to determine probable frequency, criticality, consequence, or severity of natural or man-made disasters or criminal activity on the organization's profitability or delivery of products or services."	IM	Importance	4.05	76
11-3013.01	Security Managers	21287	Conduct physical examinations of property to ensure compliance with security policies and regulations.	IM	Importance	4	75
11-3013.01	Security Managers	21300	"Monitor security policies, programs or procedures to ensure compliance with internal security policies, or applicable government security requirements, policies, and directives."	IM	Importance	3.95	74
11-3013.01	Security Managers	21289	"Coordinate security operations or activities with public law enforcement, fire and other agencies."	IM	Importance	3.95	74
11-3013.01	Security Managers	21299	"Monitor and ensure a sound, ethical environment."	IM	Importance	3.89	72
11-3013.01	Security Managers	21310	"Write or review security-related documents, such as incident reports, proposals, and tactical or strategic initiatives."	IM	Importance	3.8	70
11-3013.01	Security Managers	21286	"Communicate security status, updates, and actual or potential problems, using established protocols."	IM	Importance	3.8	70
11-3013.01	Security Managers	21309	Train subordinate security professionals or other organization members in security rules and procedures.	IM	Importance	3.75	69
11-3013.01	Security Managers	21292	"Develop or manage investigation programs, including collection and preservation of video and notes of surveillance processes or investigative interviews."	IM	Importance	3.74	69
11-3013.01	Security Managers	21303	"Prepare reports or make presentations on internal investigations, losses, or violations of regulations, policies and procedures."	IM	Importance	3.7	68
11-3013.01	Security Managers	21285	"Attend meetings, professional seminars, or conferences to keep abreast of changes in executive legislative directives or new technologies impacting security operations."	IM	Importance	3.65	66
11-3013.01	Security Managers	21304	"Purchase security-related supplies, equipment, or technology."	IM	Importance	3.65	66
11-3013.01	Security Managers	21293	"Develop, arrange for, perform, or assess executive protection activities to reduce security risks."	IM	Importance	3.61	65
11-3013.01	Security Managers	21306	Review financial reports to ensure efficiency and quality of security operations.	IM	Importance	3.55	64
11-3013.01	Security Managers	21294	"Develop, conduct, support, or assist in governmental reviews, internal corporate evaluations, or assessments of the overall effectiveness of facility and personnel security processes."	IM	Importance	3.55	64
11-3013.01	Security Managers	21308	Support efforts to reduce substance abuse or other illegal activities in the workplace.	IM	Importance	3.41	60
11-3021.00	Computer and Information Systems Managers	968	"Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines."	IM	Importance	4.11	78
11-3021.00	Computer and Information Systems Managers	975	"Meet with department heads, managers, supervisors, vendors, and others, to solicit cooperation and resolve problems."	IM	Importance	4.1	78
11-3021.00	Computer and Information Systems Managers	978	Review project plans to plan and coordinate project activity.	IM	Importance	4.08	77
11-3021.00	Computer and Information Systems Managers	969	"Assign and review the work of systems analysts, programmers, and other computer-related workers."	IM	Importance	4.04	76
11-3021.00	Computer and Information Systems Managers	15198	Provide users with technical support for computer problems.	IM	Importance	3.99	75
11-3021.00	Computer and Information Systems Managers	971	"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery."	IM	Importance	3.94	74
11-3021.00	Computer and Information Systems Managers	977	"Recruit, hire, train and supervise staff, or participate in staffing decisions."	IM	Importance	3.88	72
11-3021.00	Computer and Information Systems Managers	970	Stay abreast of advances in technology.	IM	Importance	3.88	72
11-3021.00	Computer and Information Systems Managers	967	"Consult with users, management, vendors, and technicians to assess computing needs and system requirements."	IM	Importance	3.85	71
11-3021.00	Computer and Information Systems Managers	976	"Develop and interpret organizational goals, policies, and procedures."	IM	Importance	3.7	68
11-3021.00	Computer and Information Systems Managers	973	"Evaluate the organization's technology use and needs and recommend improvements, such as hardware and software upgrades."	IM	Importance	3.7	68
11-3021.00	Computer and Information Systems Managers	972	Review and approve all systems charts and programs prior to their implementation.	IM	Importance	3.68	67
11-3021.00	Computer and Information Systems Managers	980	Prepare and review operational reports or project progress reports.	IM	Importance	3.63	66
11-3021.00	Computer and Information Systems Managers	979	Evaluate data processing proposals to assess project feasibility and requirements.	IM	Importance	3.59	65
11-3021.00	Computer and Information Systems Managers	974	Control operational budget and expenditures.	IM	Importance	3.53	63
11-3021.00	Computer and Information Systems Managers	981	Purchase necessary equipment.	IM	Importance	3.39	60
11-3021.00	Computer and Information Systems Managers	966	"Manage backup, security and user help systems."	IM	Importance	4.19	80
11-3031.00	Financial Managers	21311	Establish and maintain relationships with individual or business customers or provide assistance with problems these customers may encounter.	IM	Importance	4.3	83
11-3031.00	Financial Managers	21319	Oversee the flow of cash or financial instruments.	IM	Importance	4.2	80
11-3031.00	Financial Managers	21312	"Plan, direct, or coordinate the activities of workers in branches, offices, or departments of establishments, such as branch banks, brokerage firms, risk and insurance departments, or credit departments."	IM	Importance	4.13	78
11-3031.00	Financial Managers	21313	Recruit staff members.	IM	Importance	3.78	70
11-3031.00	Financial Managers	21315	Evaluate data pertaining to costs to plan budgets.	IM	Importance	3.61	65
11-3031.00	Financial Managers	21316	Oversee training programs.	IM	Importance	3.47	62
11-3031.00	Financial Managers	21327	"Establish procedures for custody or control of assets, records, loan collateral, or securities to ensure safekeeping."	IM	Importance	4.38	85
11-3031.00	Financial Managers	21322	Communicate with stockholders or other investors to provide information or to raise capital.	IM	Importance	4.24	81
11-3031.00	Financial Managers	21321	Develop or analyze information to assess the current or future financial status of firms.	IM	Importance	4.14	79
11-3031.00	Financial Managers	21318	"Approve, reject, or coordinate the approval or rejection of lines of credit or commercial, real estate, or personal loans."	IM	Importance	4.09	77
11-3031.00	Financial Managers	21320	"Prepare financial or regulatory reports required by laws, regulations, or boards of directors."	IM	Importance	4.04	76
11-3031.00	Financial Managers	21317	"Examine, evaluate, or process loan applications."	IM	Importance	3.98	75
11-3031.00	Financial Managers	21323	"Evaluate financial reporting systems, accounting or collection procedures, or investment activities and make recommendations for changes to procedures, operating systems, budgets, or other financial control functions."	IM	Importance	3.82	71
11-3031.00	Financial Managers	21325	Network within communities to find and attract new business.	IM	Importance	3.76	69
11-3031.00	Financial Managers	21314	Prepare operational or risk reports for management analysis.	IM	Importance	3.65	66
11-3031.00	Financial Managers	21326	Review collection reports to determine the status of collections and the amounts of outstanding balances.	IM	Importance	3.61	65
11-3031.00	Financial Managers	21329	Review reports of securities transactions or price lists to analyze market conditions.	IM	Importance	3.18	55
11-3031.01	Treasurers and Controllers	8870	Evaluate needs for procurement of funds and investment of surpluses and make appropriate recommendations.	IM	Importance	4.52	88
